song,mood,tempo,song_path
Sun Saathiya,	Romantic,95,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Sun Saathiya.mp3
Gerua,	Romantic,78,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Gerua.mp3
Balam Pichkari,	Energetic,128,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Balam Pichkari.mp3
Tujh Mein Rab Dikhta Hai,	Romantic,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tujh Mein Rab Dikhta Hai.mp3
Bulleya,	Energetic,142,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Bulleya.mp3
Tum Hi Ho (Unplugged),	Romantic,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Unplugged).mp3
Muskurane,	Romantic,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Muskurane.mp3
Subha Hone Na De (Remix),	Energetic,160,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Subha Hone Na De (Remix).mp3
Tum Se Hi,	Calm,90,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Se Hi.mp3
Agar Tum Saath Ho,	Sad,60,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Agar Tum Saath Ho.mp3
Tum Mile (Love Reprise),	Romantic,82,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile (Love Reprise).mp3
Kabira (Encore),	Calm,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Kabira (Encore).mp3
Pal Pal Dil Ke Paas,	Romantic,72,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Pal Pal Dil Ke Paas.mp3
Kaise Hua,	Romantic,105,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Kaise Hua.mp3
Ghar More Pardesiya,	Energetic,138,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Ghar More Pardesiya.mp3
Khuda Jaane (Reprise),	Romantic,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Khuda Jaane (Reprise).mp3
Janam Janam (Reprise),	Romantic,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Janam Janam (Reprise).mp3
Rang Sharbaton Ka,	Romantic,96,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Rang Sharbaton Ka.mp3
Tera Ban Jaunga (Reprise),	Romantic,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tera Ban Jaunga (Reprise).mp3
