song,mood,tempo
Sun Saathiya,	Romantic,	95
Gerua,	Romantic,	78
Balam Pichkari,	Energetic,	128
Tujh Mein Rab Dikhta Hai,	Romantic,	68
Bulleya,	Energetic,	142
Tum Hi Ho (Unplugged),	Romantic,	80
Muskurane,	Romantic,	75
Subha Hone Na De (Remix),	Energetic,	160
Tum Se Hi,	Calm,	90
Agar Tum Saath Ho,	Sad,	60
Tum Mile (Love Reprise),	Romantic,	82
Kabira (Encore),	Calm,	75
Pal Pal Dil Ke Paas,	Romantic,	72
Kaise Hua,	Romantic,	105
Ghar More Pardesiya,	Energetic,	138
Khuda Jaane (Reprise),	Romantic,	80
Janam Janam (Reprise),	Romantic,	68
Rang Sharbaton Ka,	Romantic,	96
Tera Ban Jaunga (Reprise),	Romantic,	70
Shayad,     Romantic,   80
Tum Hi Aana,	Sad,	75
Tum Jo Aaye,	Romantic,	70
Mera Naam Joker,	Reflective,	80
Pal Pal Dil Ke Paas,	Romantic,	68
Channa Mereya,	Sad,	82
Tum Hi Ho,	Romantic,	90
Kabhi Kabhi Aditi,	Romantic,	112
Tum Mile,	Romantic,	80
Zara Zara,	Romantic,	90
Jeene Laga Hoon,	Romantic,	130
Raabta,	Romantic,	75
Sun Saathiya,	Romantic,	105
Bulleya,	Energetic,	90
Janam Janam,	Romantic,	68
Agar Tum Saath Ho,	Romantic,	60
Malhari,	Energetic,	140
Tere Bina,	Reflective,	64
Badtameez Dil,	Energetic,	144
Zingaat,	Energetic,	114
Lut Gaye,	Sad,	90
Pachtaoge,	Sad,	76
Tera Ban Jaunga,	Romantic,	90
Main Tera Hero,	Energetic,	128
Ghungroo,	Energetic,	105
Shukran Allah,	Upbeat,    100
Dil Diyan Gallan,	Romantic,	75
Tum Hi Ho,	Reflective,	72
Malhari,	Energetic,	148
Sun Saathiya,	Upbeat,	100
Agar Tum Saath Ho,	Romantic,	58
Tera Ban Jaunga,	Romantic,	80
Jeene Laga Hoon,	Romantic,	128
Pachtaoge,	Sad,	70
Zara Zara,	Romantic,	88
Bulleya,	Energetic,	92
Kabhi Kabhi Aditi,	Romantic,	120
Badtameez Dil,	Energetic,	140
Tum Jo Aaye,	Romantic,	75
Sun Saathiya,	Upbeat,	95
Jeene Laga Hoon,	Romantic,	132
Tum Hi Ho,	Reflective,	75
Agar Tum Saath Ho,	Romantic,	65
Main Tera Hero,	Energetic,	120
Channa Mereya,	Sad,	80
Zingaat,	Energetic,	110
Malhari,    Energetic,  142
Lut Gaye,	Sad,	85
Janam Janam,	Romantic,	70
Pal Pal Dil Ke Paas,	Romantic,	72
Ae Dil Hai Mushkil, Romantic,   85
